('utt121636', 'utt47785')
('utt131899', 'utt95034')
('utt120210', 'utt109212')
('utt21752', 'utt108628')
('utt152202', 'utt109048')
('utt146754', 'utt66210')
('utt49382', 'utt88482')
('utt20257', 'utt29053')
('utt919', 'utt116208')
('utt59843', 'utt8937')
('utt26344', 'utt92795')
('utt50323', 'utt44068')
('utt7181', 'utt20253')
('utt26483', 'utt64222')
('utt79410', 'utt96601')
('utt88489', 'utt34099')
('utt67442', 'utt58585')
('utt18257', 'utt13689')
('utt96754', 'utt152758')
('utt20765', 'utt60164')
('utt135630', 'utt29955')
('utt82923', 'utt18737')
('utt14483', 'utt2201')
('utt23889', 'utt16668')
('utt123395', 'utt41409')
('utt26484', 'utt32722')
('utt30757', 'utt50325')
('utt143925', 'utt67439')
('utt127068', 'utt102296')
('utt78203', 'utt93093')
('utt104964', 'utt64066')
('utt89190', 'utt758')
('utt118921', 'utt38122')
('utt104618', 'utt140725')
('utt34196', 'utt43478')
('utt114989', 'utt147112')
('utt138874', 'utt79870')
('utt3216', 'utt863')
('utt25866', 'utt136684')
('utt85333', 'utt77976')
('utt142264', 'utt123741')
('utt77871', 'utt39493')
('utt133274', 'utt44487')
('utt78627', 'utt71689')
('utt153464', 'utt133389')
('utt130717', 'utt85268')
('utt24642', 'utt120491')
('utt102648', 'utt118987')
('utt23814', 'utt12347')
('utt54113', 'utt9455')
('utt97810', 'utt149479')
('utt139957', 'utt72736')
('utt96883', 'utt151544')
('utt120335', 'utt50451')
('utt27091', 'utt100101')
('utt43814', 'utt94828')
('utt7450', 'utt15387')
('utt30113', 'utt9728')
('utt143243', 'utt974')
('utt34756', 'utt83303')
('utt148886', 'utt40022')
('utt103206', 'utt65932')
('utt125556', 'utt54737')
('utt102567', 'utt97302')
('utt15695', 'utt48865')
('utt25353', 'utt73061')
('utt60400', 'utt141627')
('utt104959', 'utt26350')
('utt44323', 'utt19440')
('utt7301', 'utt27865')
('utt66201', 'utt32375')
('utt71186', 'utt124771')
('utt147873', 'utt140175')
('utt131695', 'utt6329')
('utt142630', 'utt146381')
('utt70072', 'utt36450')
('utt47332', 'utt22441')
('utt41758', 'utt4083')
('utt152965', 'utt37454')
('utt58589', 'utt52670')
('utt128812', 'utt142626')
('utt145964', 'utt24973')
('utt61179', 'utt102804')
('utt14694', 'utt109398')
('utt4677', 'utt107526')
('utt53409', 'utt130980')
('utt10395', 'utt81620')
