('utt116816', 'utt116817')
('utt33853', 'utt33858')
('utt68871', 'utt68874')
('utt5540', 'utt5541')
('utt25104', 'utt25113')
('utt153164', 'utt153169')
('utt77325', 'utt77328')
('utt3215', 'utt3216')
('utt73523', 'utt73526')
('utt81856', 'utt81859')
('utt135627', 'utt135630')
('utt80894', 'utt80898')
('utt93897', 'utt93902')
('utt150519', 'utt150526')
('utt81261', 'utt81263')
('utt65792', 'utt65799')
('utt122299', 'utt122305')
('utt142936', 'utt142937')
('utt96934', 'utt96935')
('utt140092', 'utt140098')
('utt151320', 'utt151321')
('utt39259', 'utt39261')
('utt78260', 'utt78264')
('utt127823', 'utt127826')
('utt3420', 'utt3429')
('utt8047', 'utt8053')
('utt60753', 'utt60755')
('utt60752', 'utt60757')
('utt13988', 'utt13989')
('utt80062', 'utt80063')
('utt88568', 'utt88570')
('utt11003', 'utt11011')
('utt32037', 'utt32040')
('utt10351', 'utt10354')
('utt99512', 'utt99519')
('utt149652', 'utt149659')
('utt30820', 'utt30825')
('utt147297', 'utt147300')
('utt151002', 'utt151006')
('utt68104', 'utt68106')
('utt147826', 'utt147828')
('utt138121', 'utt138125')
('utt19127', 'utt19128')
('utt106976', 'utt106980')
('utt147822', 'utt147824')
('utt112039', 'utt112042')
('utt135104', 'utt135107')
('utt121101', 'utt121103')
('utt54110', 'utt54112')
('utt104328', 'utt104329')
('utt88644', 'utt88653')
('utt85266', 'utt85274')
('utt79968', 'utt79973')
('utt106314', 'utt106316')
('utt116345', 'utt116348')
('utt94744', 'utt94745')
('utt72302', 'utt72304')
('utt34947', 'utt34949')
('utt79872', 'utt79874')
('utt21559', 'utt21564')
('utt125152', 'utt125153')
('utt151004', 'utt151008')
('utt26483', 'utt26490')
('utt61688', 'utt61691')
('utt75564', 'utt75570')
('utt39798', 'utt39800')
('utt62206', 'utt62210')
('utt104624', 'utt104625')
('utt18447', 'utt18448')
('utt137006', 'utt137012')
('utt40023', 'utt40029')
('utt68866', 'utt68873')
('utt113837', 'utt113838')
('utt92795', 'utt92798')
('utt73449', 'utt73451')
('utt147875', 'utt147877')
('utt86038', 'utt86043')
('utt35178', 'utt35181')
('utt99798', 'utt99799')
('utt143138', 'utt143140')
('utt123970', 'utt123971')
('utt147871', 'utt147872')
('utt118385', 'utt118393')
