,variables,lambda
0,F3frequency_sma3nz_stddevNorm,0.9505033619407839
1,mfcc2V_sma3nz_amean,0.9198531833363521
2,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.8993626009609573
3,alphaRatioV_sma3nz_amean,0.8787996420367055
4,F2bandwidth_sma3nz_stddevNorm,0.8567022285927958
5,F1bandwidth_sma3nz_amean,0.844975268125742
6,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.8322311423659009
7,logRelF0-H1-H2_sma3nz_amean,0.8253831026898361
8,F3bandwidth_sma3nz_stddevNorm,0.8192775208864637
9,mfcc4V_sma3nz_amean,0.8119054012434037
10,F2frequency_sma3nz_amean,0.8071370421565965
11,slopeV0-500_sma3nz_amean,0.8023573895480389
12,F2bandwidth_sma3nz_amean,0.7967865990195471
13,slopeUV0-500_sma3nz_amean,0.7905483161375413
14,loudness_sma3_stddevNorm,0.785575525141139
15,loudnessPeaksPerSec,0.7810956055283279
16,MeanUnvoicedSegmentLength,0.7774678881916998
17,mfcc2_sma3_amean,0.7736479251665013
18,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.7706519846212474
19,F1frequency_sma3nz_stddevNorm,0.7684933163517649
20,F2frequency_sma3nz_stddevNorm,0.7663717955214375
21,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.7645627906588178
22,mfcc3V_sma3nz_amean,0.7631555539622101
23,equivalentSoundLevel_dBp,0.7616216777906437
24,spectralFluxV_sma3nz_stddevNorm,0.7604293259722819
25,slopeV500-1500_sma3nz_amean,0.7594458360502281
26,F3bandwidth_sma3nz_amean,0.7582869974678713
27,jitterLocal_sma3nz_stddevNorm,0.7576012552066745
28,shimmerLocaldB_sma3nz_stddevNorm,0.7569071840929471
29,mfcc4_sma3_amean,0.7562190674655439
30,hammarbergIndexV_sma3nz_stddevNorm,0.7556020452925337
31,shimmerLocaldB_sma3nz_amean,0.7550460573157661
32,F1bandwidth_sma3nz_stddevNorm,0.7544571550330834
33,logRelF0-H1-A3_sma3nz_amean,0.7538901728998828
34,hammarbergIndexV_sma3nz_amean,0.7532087796463245
35,F3frequency_sma3nz_amean,0.7524805422534633
36,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.7520357009930416
37,mfcc1V_sma3nz_amean,0.7516102916605615
38,mfcc3_sma3_amean,0.7512205729069635
39,loudness_sma3_meanRisingSlope,0.7508442305966078
40,loudness_sma3_percentile80.0,0.7501905083821302
41,F1amplitudeLogRelF0_sma3nz_amean,0.7498588933157724
42,F3amplitudeLogRelF0_sma3nz_amean,0.7470285573549327
43,F2amplitudeLogRelF0_sma3nz_amean,0.7402966694778533
44,F0semitoneFrom27.5Hz_sma3nz_amean,0.7375470715319778
45,VoicedSegmentsPerSec,0.7372193237550476
46,loudness_sma3_meanFallingSlope,0.7369126331855016
47,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.736615921905154
48,loudness_sma3_percentile50.0,0.7363748039694561
49,spectralFlux_sma3_stddevNorm,0.7362520387864114
50,alphaRatioUV_sma3nz_amean,0.7361782488755142
51,hammarbergIndexUV_sma3nz_amean,0.7361020785192945
52,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.7360579512908658
53,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.6842108008478242
54,spectralFluxV_sma3nz_amean,0.6765462673952296
55,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.6765243373433732
56,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.676394898944736
